id,start_date,end_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture
2167,2007-10-05,2008-03-28,7.99,1419372,white,tv,23,pg_13,Clannad,False,1723 4059 4181 6351 48775 50685,Drama,Romance,School,Supernatural,,
1,1998-04-03,1999-04-24,8.75,1876957,white,tv,26,r,Cowboy Bebop,False,5 4037 17205,Action,Adult Cast,Award Winning,Sci-Fi,Space,https://cdn.myanimelist.net/images/anime/4/19644l.webp
856,2006-04-04,2006-09-26,7.62,171620,white,tv,26,r,Utawarerumono,False,1830 3593 6226 30901 36777,Action,Drama,Fantasy,Sci-Fi,,https://cdn.myanimelist.net/images/anime/1119/118609l.webp
5,2001-09-01,2001-09-01,8.38,380683,white,movie,1,r,Cowboy Bebop: The Movie,False,1,Action,Adult Cast,Sci-Fi,Space,,https://cdn.myanimelist.net/images/anime/1439/93480l.jpg
6,1998-04-01,1998-09-30,8.22,767872,white,tv,26,pg_13,Trigun,False,4106 52093,Action,Adult Cast,Adventure,Sci-Fi,Shounen,https://cdn.myanimelist.net/images/anime/7/20310l.jpg
7,2002-07-03,2002-12-25,7.24,117563,white,tv,26,pg_13,Witch Hunter Robin,False,,Action,Detective,Drama,Mystery,Supernatural,https://cdn.myanimelist.net/images/anime/10/19969l.jpg
8,2004-09-30,2005-09-29,6.93,15799,white,tv,52,pg,Beet the Vandel Buster,False,1123,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/7/21569l.jpg
35400,1934,1934,4.85,656,white,movie,1,g,Kamishibai Kintaro,False,35399,Fantasy,Historical,,,,https://cdn.myanimelist.net/images/anime/13/85262l.jpg
15,2005-04-06,2008-03-19,7.91,184573,white,tv,145,pg_13,Eyeshield 21,False,1317 6418 57979,Shounen,Sports,Team Sports,,,https://cdn.myanimelist.net/images/anime/1079/133529l.webp
16,2005-04-15,2005-09-27,7.99,269763,white,tv,24,pg_13,Honey and Clover,False,644 1142,Adult Cast,Comedy,Drama,Josei,Love Polygon,https://cdn.myanimelist.net/images/anime/1301/133577l.jpg
17,2002-09-11,2003-09-10,7.54,25368,white,tv,52,pg_13,Hungry Heart: Wild Striker,False,,Comedy,Shounen,Slice of Life,Sports,Team Sports,https://cdn.myanimelist.net/images/anime/12/49655l.jpg
18,2004-04-17,,8.17,190075,white,tv,24,pg_13,Initial D Fourth Stage,True,187 3931 5228 15059,Action,Drama,Racing,Seinen,,https://cdn.myanimelist.net/images/anime/9/10521l.jpg
19,2004-04-07,,8.88,1131011,white,tv,74,r+,Monster,False,1109 39332,Adult Cast,Drama,Mystery,Psychological,Seinen,https://cdn.myanimelist.net/images/anime/10/18793l.webp
20,2002-10-03,,8.0,2866607,white,tv,220,pg_13,Naruto,False,442 594 761 936 1074 1735 2144 7367 53236 54688,Action,Adventure,Fantasy,Martial Arts,Shounen,https://cdn.myanimelist.net/images/anime/1141/142503l.webp
21,1999-10-20,,8.72,2373973,white,tv,0,pg_13,One Piece,False,459 460 461 462 463 464 465 466 813 1094 1237 1238 2020 2107 2385 2386 2490 3848 4155 5252 8171 8740 9999 10033 12001 12859 15323 16143 16239 16468 19123 22661 23933 23935 25161 28683 31289 31490 32051 32437 33338 33606 34165 36215 36239 37902 38234 38419 40181 40970 50410 50696 51162 51163 52139 52199 52921 53235 53878 53880 53890 55289 55647 56015 56055 57556 57557 58015 58307 58663,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/1244/138851l.jpg
22,2001-10-10,,7.85,185586,white,tv,178,pg_13,The Prince of Tennis,False,814 815 995 1190 5996 6749 10276 10731 10862 29697 36952 42602,School,Shounen,Sports,,,https://cdn.myanimelist.net/images/anime/6/21624l.jpg
23,2004-10-06,,6.35,5177,white,tv,12,pg,Ring ni Kakero 1,False,1771 34307,Combat Sports,Shounen,Sports,,,https://cdn.myanimelist.net/images/anime/1146/124743l.jpg
24,2004-10-05,,7.89,329519,white,tv,26,pg_13,School Rumble,False,517 846,Comedy,Gag Humor,Love Polygon,Romance,School,https://cdn.myanimelist.net/images/anime/1465/142014l.jpg
