ids,recommendations,pictures,id
"[1, 5, 205, 1430, 44, 164, 43, 467, 6, 35737]","['Cowboy Bebop', 'Cowboy Bebop: The Movie', 'Samurai Champloo', 'Lupin III: The Castle of Cagliostro', 'Samurai X: Trust and Betrayal', 'Princess Mononoke', 'Ghost in the Shell', 'Ghost in the Shell: Stand Alone Complex', 'Trigun', 'Pluto']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg', 'https://cdn.myanimelist.net/images/anime/5/26182l.jpg', 'https://cdn.myanimelist.net/images/anime/1656/137618l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75919l.jpg', 'https://cdn.myanimelist.net/images/anime/10/82594l.jpg', 'https://cdn.myanimelist.net/images/anime/11/50857l.jpg', 'https://cdn.myanimelist.net/images/anime/7/20310l.jpg', 'https://cdn.myanimelist.net/images/anime/1021/138568l.jpg']",1
"[5, 1, 205, 25781, 513, 46102, 263, 164, 36563, 37521]","['Cowboy Bebop: The Movie', 'Cowboy Bebop', 'Samurai Champloo', 'Attack on Titan: No Regrets', 'Castle in the Sky', 'Odd Taxi', 'Fighting Spirit', 'Princess Mononoke', 'Megalobox', 'Vinland Saga']","['https://cdn.myanimelist.net/images/anime/1439/93480l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg', 'https://cdn.myanimelist.net/images/anime/8/69497l.jpg', 'https://cdn.myanimelist.net/images/anime/5/37799l.jpg', 'https://cdn.myanimelist.net/images/anime/1981/113348l.jpg', 'https://cdn.myanimelist.net/images/anime/4/86334l.jpg', 'https://cdn.myanimelist.net/images/anime/7/75919l.jpg', 'https://cdn.myanimelist.net/images/anime/1958/93533l.jpg', 'https://cdn.myanimelist.net/images/anime/1500/103005l.jpg']",5
"[6, 4106, 205, 5, 185, 1, 263, 37520, 40834, 36028]","['Trigun', 'Trigun: Badlands Rumble', 'Samurai Champloo', 'Cowboy Bebop: The Movie', 'Initial D First Stage', 'Cowboy Bebop', 'Fighting Spirit', 'Dororo', 'Ranking of Kings', 'Golden Kamuy']","['https://cdn.myanimelist.net/images/anime/7/20310l.jpg', 'https://cdn.myanimelist.net/images/anime/1930/116400l.jpg', 'https://cdn.myanimelist.net/images/anime/1375/121599l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg', 'https://cdn.myanimelist.net/images/anime/1384/127972l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/4/86334l.jpg', 'https://cdn.myanimelist.net/images/anime/1879/100467l.jpg', 'https://cdn.myanimelist.net/images/anime/1347/117616l.jpg', 'https://cdn.myanimelist.net/images/anime/1145/90880l.jpg']",6
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",7
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",8
"[1535, 31964, 5114, 269, 1575, 38000, 11061, 15, 38691, 34148]","['Death Note', 'My Hero Academia', 'Fullmetal Alchemist: Brotherhood', 'Bleach', 'Code Geass: Lelouch of the Rebellion', 'Demon Slayer: Kimetsu no Yaiba', 'Hunter x Hunter', 'Eyeshield 21', 'Dr. Stone', 'Nyanko Days']","['https://cdn.myanimelist.net/images/anime/1079/138100l.jpg', 'https://cdn.myanimelist.net/images/anime/10/78745l.jpg', 'https://cdn.myanimelist.net/images/anime/1208/94745l.jpg', 'https://cdn.myanimelist.net/images/anime/3/40451l.jpg', 'https://cdn.myanimelist.net/images/anime/1032/135088l.jpg', 'https://cdn.myanimelist.net/images/anime/1286/99889l.jpg', 'https://cdn.myanimelist.net/images/anime/1337/99013l.jpg', 'https://cdn.myanimelist.net/images/anime/1079/133529l.jpg', 'https://cdn.myanimelist.net/images/anime/1613/102576l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg']",15
"[16, 6746, 34599, 36296, 32182, 1, 23289, 10087, 28223, 5114]","['Honey and Clover', 'Durarara!!', 'Made in Abyss', 'Hinamatsuri', 'Mob Psycho 100', 'Cowboy Bebop', ""Monthly Girls' Nozaki-kun"", 'Fate/Zero', 'Death Parade', 'Fullmetal Alchemist: Brotherhood']","['https://cdn.myanimelist.net/images/anime/1301/133577l.jpg', 'https://cdn.myanimelist.net/images/anime/10/71772l.jpg', 'https://cdn.myanimelist.net/images/anime/6/86733l.jpg', 'https://cdn.myanimelist.net/images/anime/1580/93526l.jpg', 'https://cdn.myanimelist.net/images/anime/8/80356l.jpg', 'https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/5/66083l.jpg', 'https://cdn.myanimelist.net/images/anime/1887/117644l.jpg', 'https://cdn.myanimelist.net/images/anime/5/71553l.jpg', 'https://cdn.myanimelist.net/images/anime/1208/94745l.jpg']",16
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",17
"[185, 20583, 37521, 822, 13601, 50265, 22535, 889, 37520, 48561]","['Initial D First Stage', 'Haikyu!!', 'Vinland Saga', 'Initial D Extra Stage', 'Psycho-Pass', 'Spy x Family', 'Parasyte: The Maxim', 'Black Lagoon', 'Dororo', 'Jujutsu Kaisen 0']","['https://cdn.myanimelist.net/images/anime/1384/127972l.jpg', 'https://cdn.myanimelist.net/images/anime/7/76014l.jpg', 'https://cdn.myanimelist.net/images/anime/1500/103005l.jpg', 'https://cdn.myanimelist.net/images/anime/8/13169l.jpg', 'https://cdn.myanimelist.net/images/anime/5/43399l.jpg', 'https://cdn.myanimelist.net/images/anime/1441/122795l.jpg', 'https://cdn.myanimelist.net/images/anime/3/73178l.jpg', 'https://cdn.myanimelist.net/images/anime/1906/121592l.jpg', 'https://cdn.myanimelist.net/images/anime/1879/100467l.jpg', 'https://cdn.myanimelist.net/images/anime/1121/119044l.jpg']",18
"[19, 35737, 37521, 11061, 437, 5, 9253, 263, 46102, 6114]","['Monster', 'Pluto', 'Vinland Saga', 'Hunter x Hunter', 'Perfect Blue', 'Cowboy Bebop: The Movie', 'Steins;Gate', 'Fighting Spirit', 'Odd Taxi', 'Rainbow']","['https://cdn.myanimelist.net/images/anime/10/18793l.jpg', 'https://cdn.myanimelist.net/images/anime/1021/138568l.jpg', 'https://cdn.myanimelist.net/images/anime/1500/103005l.jpg', 'https://cdn.myanimelist.net/images/anime/1337/99013l.jpg', 'https://cdn.myanimelist.net/images/anime/1254/134212l.jpg', 'https://cdn.myanimelist.net/images/anime/1439/93480l.jpg', 'https://cdn.myanimelist.net/images/anime/1935/127974l.jpg', 'https://cdn.myanimelist.net/images/anime/4/86334l.jpg', 'https://cdn.myanimelist.net/images/anime/1981/113348l.jpg', 'https://cdn.myanimelist.net/images/anime/9/72697l.jpg']",19
"[20, 48561, 13667, 49310, 263, 38234, 16498, 21185, 42916, 16870]","['Naruto', 'Jujutsu Kaisen 0', 'Naruto Shippuden the Movie 6: Road to Ninja', 'Fruits Basket: Prelude', 'Fighting Spirit', 'One Piece: Stampede', 'Attack on Titan', 'Baby Steps', 'Sword Art Online the Movie: Progressive - Aria of a Starless Night', 'Naruto Shippuden the Movie 7: The Last']","['https://cdn.myanimelist.net/images/anime/13/17405l.jpg', 'https://cdn.myanimelist.net/images/anime/1121/119044l.jpg', 'https://cdn.myanimelist.net/images/anime/1620/94336l.jpg', 'https://cdn.myanimelist.net/images/anime/1034/120096l.jpg', 'https://cdn.myanimelist.net/images/anime/4/86334l.jpg', 'https://cdn.myanimelist.net/images/anime/1221/100550l.jpg', 'https://cdn.myanimelist.net/images/anime/10/47347l.jpg', 'https://cdn.myanimelist.net/images/anime/5/63361l.jpg', 'https://cdn.myanimelist.net/images/anime/1590/116274l.jpg', 'https://cdn.myanimelist.net/images/anime/1491/134498l.jpg']",20
"[21, 38234, 8740, 462, 263, 50410, 20583, 48585, 49052, 11061]","['One Piece', 'One Piece: Stampede', 'One Piece Film: Strong World Episode 0', 'One Piece: Dead End Adventure', 'Fighting Spirit', 'One Piece Film Red', 'Haikyu!!', 'Black Clover: Sword of the Wizard King', 'Aoashi', 'Hunter x Hunter']","['https://cdn.myanimelist.net/images/anime/1244/138851l.jpg', 'https://cdn.myanimelist.net/images/anime/1221/100550l.jpg', 'https://cdn.myanimelist.net/images/anime/1172/109469l.jpg', 'https://cdn.myanimelist.net/images/anime/1100/116767l.jpg', 'https://cdn.myanimelist.net/images/anime/4/86334l.jpg', 'https://cdn.myanimelist.net/images/anime/1668/125323l.jpg', 'https://cdn.myanimelist.net/images/anime/7/76014l.jpg', 'https://cdn.myanimelist.net/images/anime/1337/136363l.jpg', 'https://cdn.myanimelist.net/images/anime/1731/120871l.jpg', 'https://cdn.myanimelist.net/images/anime/1337/99013l.jpg']",21
"[1, 34104, 34148, 34161, 34176, 34177, 34209, 34213, 34102, 34257]","['Cowboy Bebop', ""Knight's & Magic"", 'Nyanko Days', 'Overlord: The Undead King', 'Grimoire of Zero', ""Angel's 3Piece!"", 'Meiji Tokyo Renka', 'Tawawa on Monday', 'Sagrada Reset', 'THE IDOLM@STER CINDERELLA GIRLS Theater']","['https://cdn.myanimelist.net/images/anime/4/19644l.jpg', 'https://cdn.myanimelist.net/images/anime/1472/93813l.jpg', 'https://cdn.myanimelist.net/images/anime/10/83933l.jpg', 'https://cdn.myanimelist.net/images/anime/12/87759l.jpg', 'https://cdn.myanimelist.net/images/anime/5/85224l.jpg', 'https://cdn.myanimelist.net/images/anime/8/86831l.jpg', 'https://cdn.myanimelist.net/images/anime/1205/96175l.jpg', 'https://cdn.myanimelist.net/images/anime/13/83576l.jpg', 'https://cdn.myanimelist.net/images/anime/5/87743l.jpg', 'https://cdn.myanimelist.net/images/anime/10/89786l.jpg']",22
"[2167, 6547, 11061, 1535, 9989, 16498, 30276, 4224, 37999, 38000]","['Clannad', 'Angel Beats!', 'Hunter x Hunter', 'Death Note', 'Anohana: The Flower We Saw That Day', 'Attack on Titan', 'One Punch Man', 'Toradora!', 'Kaguya-sama: Love is War', 'Demon Slayer: Kimetsu no Yaiba']","['https://cdn.myanimelist.net/images/anime/1804/95033l.jpg', 'https://cdn.myanimelist.net/images/anime/1244/111115l.jpg', 'https://cdn.myanimelist.net/images/anime/1337/99013l.jpg', 'https://cdn.myanimelist.net/images/anime/1079/138100l.jpg', 'https://cdn.myanimelist.net/images/anime/5/79697l.jpg', 'https://cdn.myanimelist.net/images/anime/10/47347l.jpg', 'https://cdn.myanimelist.net/images/anime/12/76049l.jpg', 'https://cdn.myanimelist.net/images/anime/13/22128l.jpg', 'https://cdn.myanimelist.net/images/anime/1295/106551l.jpg', 'https://cdn.myanimelist.net/images/anime/1286/99889l.jpg']",24
