id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,picture,prequel,genre1,genre2,genre3,genre4,genre5
9919,2011-04-17,7.49,1898197,white,tv,25,pg_13,Blue Exorcist,https://cdn.myanimelist.net/images/anime/10/75195l.jpg,False,Action,Fantasy,Mythology,School,Shounen
33506,2017-01-07,7.35,748919,white,tv,12,pg_13,Blue Exorcist: Kyoto Saga,https://cdn.myanimelist.net/images/anime/5/85201l.jpg,True,Action,Fantasy,Mythology,School,Shounen
2251,2007-07-27,8.36,896599,white,tv,13,r,Baccano!,https://cdn.myanimelist.net/images/anime/3/14547l.jpg,False,Action,Adult Cast,Historical,Mystery,Organized Crime
31043,2016-01-08,8.3,2056055,white,tv,12,r,ERASED,https://cdn.myanimelist.net/images/anime/10/77957l.jpg,False,Mystery,Psychological,Seinen,Supernatural,Suspense
34566,2017-04-05,6.03,851275,white,tv,293,pg_13,Boruto: Naruto Next Generations,https://cdn.myanimelist.net/images/anime/1091/99847l.jpg,True,Action,Adventure,Fantasy,Martial Arts,Shounen
28755,2015-08-07,7.39,459505,white,movie,1,pg_13,Boruto: Naruto the Movie,https://cdn.myanimelist.net/images/anime/4/78280l.jpg,True,Action,Adventure,Fantasy,Martial Arts,Shounen
44511,2022-10-12,8.53,1428867,white,tv,12,r,Chainsaw Man,https://cdn.myanimelist.net/images/anime/1806/126216l.jpg,False,Action,Fantasy,Gore,Shounen,
1575,2006-10-06,8.7,2214141,white,tv,25,r,Code Geass: Lelouch of the Rebellion,https://cdn.myanimelist.net/images/anime/1032/135088l.jpg,False,Action,Award Winning,Drama,Mecha,Military
2904,2008-04-06,8.91,1751130,white,tv,25,r,Code Geass: Lelouch of the Rebellion R2,https://cdn.myanimelist.net/images/anime/1088/135089l.jpg,True,Action,Award Winning,Drama,Mecha,Military
1,1998-04-03,8.75,1830739,white,tv,26,r,Cowboy Bebop,https://cdn.myanimelist.net/images/anime/4/19644l.jpg,False,Action,Adult Cast,Award Winning,Sci-Fi,Space
1535,2006-10-04,8.62,3829715,white,tv,37,r,Death Note,https://cdn.myanimelist.net/images/anime/1079/138100l.jpg,False,Detective,Psychological,Shounen,Supernatural,Suspense
38668,2020-01-13,8.05,532315,white,tv,12,r,Dorohedoro,https://cdn.myanimelist.net/images/anime/1740/104786l.jpg,False,Action,Comedy,Fantasy,Gore,Horror
